Column1,ID,Field_Of_Study,Primary_Hobby,Secondary_Hobby,Gender,Desired_Career_Field,Country_Of_Origin,combined_text,Recommendations
409,100410,Computational Mechanics and Scientific Computing,Drawing,Digital Art,Male,Computational Fluid Dynamics Engineer,China,Computational Fluid Dynamics Engineer Computational Mechanics and Scientific Computing Drawing Digital Art,"['Chemical Fate of Organic Compounds', 'Fundamentals of Microelectronic Devices', 'Interdisciplinary Introduction to Computer Science', 'Physical Chemical Processes in Environmental Engineering', 'Signals and Systems - Lab']"
410,100411,Cybersecurity,Chess,Snowboarding,Male,Cybersecurity Analyst,Russia,Cybersecurity Analyst Cybersecurity Chess Snowboarding,"['Cybersecurity Program Development, Operations & Analysis', 'Introduction to Quantum Engineering', 'Identity and Access Management', 'The Human Element in Cybersecurity', 'Special Topics in Electrical and Computer Engineering']"
411,100412,Design and Technology Innovation,Pottery,Crochet,Female,Innovation Strategist,Mexico,Innovation Strategist Design and Technology Innovation Pottery Crochet,"['Innovation Management in Technology-Based Organizations', 'New Ventures Discover', 'Advanced Topics in Design and Technology Innovation', 'Designing Ethical Tech', 'Commercializing Technology Innovations: Turning Visions into Value']"
412,100413,Electrical and Computer Engineering,Basketball,Writing,Female,Human-Computer Interaction (HCI) Specialist,Spain,Human-Computer Interaction (HCI) Specialist Electrical and Computer Engineering Basketball Writing,"['Advanced Topics in Design and Technology Innovation', 'Introduction to Microelectronic Devices and Circuits', 'Introduction to Signals and Systems', 'Special Topics in Electrical and Computer Engineering', 'Fields and Waves: Fundamentals of Information Propagation']"
413,100414,Environmental Engineering,Beekeeping,Embroidery,Male,Environmental Engineer,Italy,Environmental Engineer Environmental Engineering Beekeeping Embroidery,"['Physical Chemical Processes in Environmental Engineering', 'Writing about Performance', 'Global Change Biology: From Molecules to Organisms', 'Deep-Sea Science and Environmental Management', 'Environmental Justice: Theory and Practice for Environmental Scientists and Policy Professionals']"
414,100415,Financial Technology,Shopping,Knitting,Female,Financial Technology,Argentina,Financial Technology Financial Technology Shopping Knitting,"['Data Science', 'Special Topics in Electrical and Computer Engineering', 'Advanced Topics in Design and Technology Innovation', 'Engineering Management Seminar', 'Marketing']"
415,100416,Game Design Development and Innovation,Video Gaming,Drawing,Male,Video Game Designer,Nigeria,Video Game Designer Game Design Development and Innovation Video Gaming Drawing,"['Special Topics in Electrical and Computer Engineering', 'Critical Analysis of Video Games', 'Algorithmic Game Theory', 'Interdisciplinary Introduction to Computer Science', 'Fundamentals of Game Development']"
416,100417,Materials Science and Engineering,Metalworking,Photography,Female,Materials Scientist,Indonesia,Materials Scientist Materials Science and Engineering Metalworking Photography,"['Environmental Transport Phenomena', 'Chemical Fate of Organic Compounds', 'Physical Chemical Processes in Environmental Engineering', 'Introduction to Microelectronic Devices and Circuits', 'Environmental Analytical Chemistry']"
417,100418,Mechanical Engineering,Wood Working,Hiking,Male,Mechanical Engineer,Saudi Arabia,Mechanical Engineer Mechanical Engineering Wood Working Hiking,"['Physical Chemical Processes in Environmental Engineering', 'Control of Dynamic Systems', 'Introduction to Robotics and Automation', 'Operations Management', 'Engineering Management Seminar']"
418,100419,Medical Technology Design,Knitting,Pottery,Female,Biomedical Device Engineer,South Korea,Biomedical Device Engineer Medical Technology Design Knitting Pottery,"['Writing about Performance', 'Marketing', 'Innovations in Drug Development', 'Modeling Cellular and Molecular Systems', 'Biomedical Aspects of Blast and Ballistics (GE, BB)']"
419,100420,Environmental Engineering,Gardening,Hiking,Female,Environmental Engineer,Canada,Environmental Engineer Environmental Engineering Gardening Hiking,"['Writing about Performance', 'Functional Ecology of Plants', 'Tropical Ecology', 'Environmental Justice: Theory and Practice for Environmental Scientists and Policy Professionals', 'Deep-Sea Science and Environmental Management']"
420,100421,Financial Technology,Shopping,Cooking,Male,Financial Technology,United Kingdom,Financial Technology Financial Technology Shopping Cooking,"['Data Science', 'Advanced Topics in Design and Technology Innovation', 'Special Topics in Electrical and Computer Engineering', 'Product Development', 'Computer Architecture']"
421,100422,AI,Video Gaming,Web Design,Male,AI/Machine Learning Engineer,Australia,AI/Machine Learning Engineer AI Video Gaming Web Design,"['Deep Reinforcement Learning Applications', 'Optimization in Practice', 'Deep Learning Applications', 'Critical Analysis of Video Games', 'Data Science']"
422,100423,Biomedical Engineering,Knitting,Pottery,Female,Biomedical Device Engineer,Germany,Biomedical Device Engineer Biomedical Engineering Knitting Pottery,"['Writing about Performance', 'Modeling Cellular and Molecular Systems', 'Invention to Application: Healthcare Research Commercialization', 'Signal Processing and Applied Mathematics', 'Biomedical Aspects of Blast and Ballistics (GE, BB)']"
423,100424,Civil Engineering,Wood Working,Hiking,Male,Structural Engineer,France,Structural Engineer Civil Engineering Wood Working Hiking,"['Physical Chemical Processes in Environmental Engineering', 'Environmental Transport Phenomena', 'Chemical Fate of Organic Compounds', 'Operations Management', 'Engineering Management Seminar']"
424,100425,Risk Engineering,Chess,Running,Male,Risk Engineer,Japan,Risk Engineer Risk Engineering Chess Running,"['Introduction to Quantum Engineering', 'Introduction to Cybersecurity Perspectives', 'Security Incident Detection, Response, and Resilience', 'The Human Element in Cybersecurity', 'Cybersecurity Program Development, Operations & Analysis']"
425,100426,Mechanical Engineering,Mountain Biking,Backpacking,Female,Mechanical Engineer,Brazil,Mechanical Engineer Mechanical Engineering Mountain Biking Backpacking,"['Introduction to Robotics and Automation', 'Control of Dynamic Systems', 'Introduction to Quantum Engineering', 'Advanced Topics in Design and Technology Innovation', 'Engineering Management Seminar']"
426,100427,Medical Technology Design,Cooking,Embroidery,Female,Clinical Engineer,South Africa,Clinical Engineer Medical Technology Design Cooking Embroidery,"['Physical Chemical Processes in Environmental Engineering', 'Innovations in Drug Development', 'Designing Ethical Tech', 'Global Change Biology: From Molecules to Organisms', 'Computing and the Brain']"
427,100428,Cybersecurity,Chess,Scuba Diving,Male,Cybersecurity Analyst,India,Cybersecurity Analyst Cybersecurity Chess Scuba Diving,"['Introduction to Quantum Engineering', 'Marine Protected Area Monitoring and Management', 'Deep-Sea Science and Environmental Management', 'Introduction to Cybersecurity Perspectives', 'Security Incident Detection, Response, and Resilience']"
428,100429,Game Design Development and Innovation,Video Gaming,Drawing,Male,Video Game Designer,China,Video Game Designer Game Design Development and Innovation Video Gaming Drawing,"['Special Topics in Electrical and Computer Engineering', 'Critical Analysis of Video Games', 'Data Science', 'Interdisciplinary Introduction to Computer Science', 'Fundamentals of Game Development']"
429,100430,Materials Science and Engineering,Metalworking,Photography,Female,Materials Scientist,Russia,Materials Scientist Materials Science and Engineering Metalworking Photography,"['Climate Tech Startups and Investors', 'Introduction to Robotics and Automation', 'Control of Dynamic Systems', 'Introduction to Microelectronic Devices and Circuits', 'Fundamentals of Microelectronic Devices']"
430,100431,Computational Mechanics and Scientific Computing,Drawing,Digital Art,Male,High-Performance Computing Specialist,Mexico,High-Performance Computing Specialist Computational Mechanics and Scientific Computing Drawing Digital Art,"['Fundamentals of Game Development', 'Computational Microeconomics', 'Algorithmic Game Theory', 'Advanced Computer Architecture I', 'Data Science']"
431,100432,Design and Technology Innovation,Pottery,Crochet,Female,Product Design Engineer,Spain,Product Design Engineer Design and Technology Innovation Pottery Crochet,"['Writing about Performance', 'Product Development', 'Product Management in High-Tech Companies', 'Operations Management', 'Innovation Management in Technology-Based Organizations']"
432,100433,Electrical and Computer Engineering,Basketball,Writing,Male,Software Development,Italy,Software Development Electrical and Computer Engineering Basketball Writing,"['Introduction to Microelectronic Devices and Circuits', 'Special Topics in Electrical and Computer Engineering', 'Design Thinking and Innovation', 'Compiler Construction', 'Data Science']"
433,100434,Climate and Sustainability Engineering,Gardening,Mountain Biking,Female,Renewable Energy Engineer,Argentina,Renewable Energy Engineer Climate and Sustainability Engineering Gardening Mountain Biking,"['Tropical Ecology', 'Writing about Performance', 'Global Change Biology: From Molecules to Organisms', 'Climate Tech Startups and Investors', 'Special Topics in Electrical and Computer Engineering']"
434,100435,Photonics and Optical Sciences,Drawing,Photography,Male,Computer Vision Engineer,Nigeria,Computer Vision Engineer Photonics and Optical Sciences Drawing Photography,"['Introduction to Computer Vision', 'Advanced Computer Architecture I', 'Data Science', 'Signals and Systems - Lab', 'Introduction to Microelectronic Devices and Circuits']"
435,100436,Natural Language Processing Engineer,Writing,Creative Writing,Female,Natural Language Processing Engineer,Indonesia,Natural Language Processing Engineer Natural Language Processing Engineer Writing Creative Writing,"['AIPI Seminar', 'Data Science', 'Interdisciplinary Introduction to Computer Science', 'Operationalizing AI', 'Deep Learning Applications']"
436,100437,Business Management,Shopping,Wine Making,Male,Business Management,Saudi Arabia,Business Management Business Management Shopping Wine Making,"['Marketing', 'Product Management in High-Tech Companies', 'Operations Management', 'Supply Chain Management', 'Innovation Management in Technology-Based Organizations']"
437,100438,AI Ethics Specialist,Photography,Digital Art,Female,AI Ethics Specialist,South Korea,AI Ethics Specialist AI Ethics Specialist Photography Digital Art,"['Advanced Topics in Design and Technology Innovation', 'Writing about Performance', 'Designing Ethical Tech', 'AIPI Seminar', 'Legal, Societal, and Ethical Implications of AI']"
438,100439,Biomedical Research,Hiking,Photography,Male,Biomedical Research,Egypt,Biomedical Research Biomedical Research Hiking Photography,"['Modeling Cellular and Molecular Systems', 'Invention to Application: Healthcare Research Commercialization', 'Biomedical Aspects of Blast and Ballistics (GE, BB)', 'Writing about Performance', 'Innovations in Drug Development']"
439,100440,AI,Video Gaming,Web Design,Male,AI Ethics Specialist,Canada,AI Ethics Specialist AI Video Gaming Web Design,"['Writing about Performance', 'Narrative Design', 'Data Science', 'Designing Ethical Tech', 'Critical Analysis of Video Games']"
440,100441,Cybersecurity,Chess,Running,Female,Cryptographer,United Kingdom,Cryptographer Cybersecurity Chess Running,"['Applying Machine Learning to Advance Cybersecurity', 'Cybersecurity Program Development, Operations & Analysis', 'Identity and Access Management', 'The Human Element in Cybersecurity', 'Design and Analysis of Algorithms']"
441,100442,Environmental Engineering,Gardening,Hiking,Male,Climate Change Analyst,Australia,Climate Change Analyst Environmental Engineering Gardening Hiking,"['Writing about Performance', 'Tropical Ecology', 'Climate Tech Startups and Investors', 'Designing Ethical Tech', 'Global Change Biology: From Molecules to Organisms']"
442,100443,Financial Technology,Shopping,Cooking,Female,Innovation Strategist,Germany,Innovation Strategist Financial Technology Shopping Cooking,"['Designing Ethical Tech', 'Commercializing Technology Innovations: Turning Visions into Value', 'Narrative Design', 'Advanced Topics in Design and Technology Innovation', 'New Ventures Deliver']"
443,100444,Game Design Development and Innovation,Drawing,Video Gaming,Male,Game Design Development and Innovation,France,Game Design Development and Innovation Game Design Development and Innovation Drawing Video Gaming,"['Critical Analysis of Video Games', 'Writing about Performance', 'Interdisciplinary Introduction to Computer Science', 'Narrative Design', 'Fundamentals of Game Development']"
444,100445,Mechanical Engineering,Mountain Biking,Backpacking,Male,Biomechanical Engineer,Japan,Biomechanical Engineer Mechanical Engineering Mountain Biking Backpacking,"['Commercializing Technology Innovations: Turning Visions into Value', 'Writing about Performance', 'Innovations in Drug Development', 'Marine Protected Area Monitoring and Management', 'Global Change Biology: From Molecules to Organisms']"
445,100446,Medical Technology Design,Cooking,Embroidery,Male,Medical Technology Design,Brazil,Medical Technology Design Medical Technology Design Cooking Embroidery,"['Innovations in Drug Development', 'Functional Ecology of Plants', 'Writing about Performance', 'Marine Protected Area Monitoring and Management', 'Deep-Sea Science and Environmental Management']"
446,100447,Materials Science and Engineering,Metalworking,Photography,Male,Pharmaceutical Engineer,South Africa,Pharmaceutical Engineer Materials Science and Engineering Metalworking Photography,"['Innovations in Drug Development', 'Designing Ethical Tech', 'Signals and Systems - Lab', 'Biomedical Aspects of Blast and Ballistics (GE, BB)', 'Modeling Cellular and Molecular Systems']"
447,100448,Civil Engineering,Wood Working,Hiking,Female,Geotechnical Engineer,India,Geotechnical Engineer Civil Engineering Wood Working Hiking,"['Environmental Transport Phenomena', 'Architectural Engineering I', 'Applied Biological Principles and Processes in Environmental Engineering', 'Chemical Fate of Organic Compounds', 'Environmental Analytical Chemistry']"
448,100449,Computational Mechanics and Scientific Computing,Drawing,Digital Art,Female,Finite Element Analyst,China,Finite Element Analyst Computational Mechanics and Scientific Computing Drawing Digital Art,"['Interdisciplinary Introduction to Computer Science', 'Advanced Computer Architecture I', 'Computing and the Brain', 'Graph Analysis with Matrix Computation', 'Computational Microeconomics']"
449,100450,Design and Technology Innovation,Pottery,Crochet,Male,Product Design Engineer,Russia,Product Design Engineer Design and Technology Innovation Pottery Crochet,"['Writing about Performance', 'Innovation Management in Technology-Based Organizations', 'Design Thinking and Innovation', 'Advanced Topics in Design and Technology Innovation', 'Using Real-Time Data to Improve Customer Quality Experience']"
450,100451,Electrical and Computer Engineering,Basketball,Writing,Female,Human-Computer Interaction (HCI) Specialist,Mexico,Human-Computer Interaction (HCI) Specialist Electrical and Computer Engineering Basketball Writing,"['Advanced Topics in Design and Technology Innovation', 'Using Real-Time Data to Improve Customer Quality Experience', 'Design Thinking and Innovation', 'Computing and the Brain', 'Computational Microeconomics']"
451,100452,Climate and Sustainability Engineering,Gardening,Mountain Biking,Male,Energy Efficiency Consultant,Spain,Energy Efficiency Consultant Climate and Sustainability Engineering Gardening Mountain Biking,"['Data Science', 'Environmental Justice: Theory and Practice for Environmental Scientists and Policy Professionals', 'Writing about Performance', 'Tropical Ecology', 'Designing Ethical Tech']"
452,100453,Photonics and Optical Sciences,Drawing,Photography,Female,Optics Engineer,Italy,Optics Engineer Photonics and Optical Sciences Drawing Photography,"['Advanced Computer Architecture I', 'Introduction to Computer Vision', 'Signals and Systems - Lab', 'Design and Analysis of Algorithms', 'Introduction to Microelectronic Devices and Circuits']"
453,100454,Natural Language Processing Engineer,Writing,Creative Writing,Male,AI/Machine Learning Engineer,Argentina,AI/Machine Learning Engineer Natural Language Processing Engineer Writing Creative Writing,"['AIPI Seminar', 'Interdisciplinary Introduction to Computer Science', 'Data Science', 'Sourcing Data for Analytics', 'Optimization in Practice']"
454,100455,Risk Engineering,Chess,Running,Female,Security Consultant,Nigeria,Security Consultant Risk Engineering Chess Running,"['Compiler Construction', 'Introduction to Cybersecurity Perspectives', 'Cybersecurity Program Development, Operations & Analysis', 'Identity and Access Management', 'The Human Element in Cybersecurity']"
455,100456,Biomedical Engineering,Knitting,Pottery,Male,Biomedical Research,Indonesia,Biomedical Research Biomedical Engineering Knitting Pottery,"['Operationalizing AI', 'Writing about Performance', 'Biomedical Aspects of Blast and Ballistics (GE, BB)', 'Signal Processing and Applied Mathematics', 'Invention to Application: Healthcare Research Commercialization']"
456,100457,Civil Engineering,Wood Working,Hiking,Male,Water Resources Engineer,Saudi Arabia,Water Resources Engineer Civil Engineering Wood Working Hiking,"['Physical Chemical Processes in Environmental Engineering', 'Environmental Transport Phenomena', 'Applied Biological Principles and Processes in Environmental Engineering', 'Functional Ecology of Plants', 'Global Change Biology: From Molecules to Organisms']"
457,100458,Computational Mechanics and Scientific Computing,Drawing,Digital Art,Female,High-Performance Computing Specialist,South Korea,High-Performance Computing Specialist Computational Mechanics and Scientific Computing Drawing Digital Art,"['Computer Architecture', 'Introduction to Microelectronic Devices and Circuits', 'Special Topics in Electrical and Computer Engineering', 'Advanced Computer Architecture I', 'Compiler Construction']"
458,100459,AI,Drawing,Video Gaming,Female,AI/Machine Learning Engineer,United States,AI/Machine Learning Engineer AI Drawing Video Gaming,"['ISourcing Data for Analytics', 'AIPI Seminar', 'Operationalizing AI', 'Data Science', 'Deep Learning Applications']"
459,100460,Biomedical Engineering,Cooking,Photography,Male,Biomedical Research,Canada,Biomedical Research Biomedical Engineering Cooking Photography,"['Biomedical Aspects of Blast and Ballistics (GE, BB)', 'Tropical Ecology', 'Invention to Application: Healthcare Research Commercialization', 'Modeling Cellular and Molecular Systems', 'Resource & Environmental Economics I']"
460,100461,Civil Engineering,Hiking,Wood Working,Female,Structural Engineer,United Kingdom,Structural Engineer Civil Engineering Hiking Wood Working,"['Environmental Transport Phenomena', 'Physical Chemical Processes in Environmental Engineering', 'Architectural Engineering I', 'Chemical Fate of Organic Compounds', 'Physical Chemical Processes in Environmental Engineering']"
